loc	weather
科左后旗	多云
青龙山	多云
开鲁	多云
库伦	多云
奈曼	多云
扎鲁特	多云
巴雅尔吐胡硕	多云
赤峰	晴
阿鲁旗	晴
浩尔吐	晴
巴林左旗	晴
巴林右旗	晴
林西	晴
克什克腾	晴
翁牛特	晴
岗子	晴
喀喇沁	阴
八里罕	阴
宁城	晴
敖汉	晴
宝国吐	晴间多云
鄂尔多斯	晴
达拉特	晴
准格尔	晴
鄂前旗	晴
河南	晴
伊和乌素	晴
鄂托克	晴
杭锦旗	晴
乌审旗	晴
伊金霍洛	晴
乌审召	晴
东胜	晴
临河	晴
五原	晴
磴口	晴
乌前旗	晴
大佘太	晴
乌中旗	晴
乌后旗	晴
海力素	晴
那仁宝力格	晴
杭锦后旗	晴
锡林浩特	小雪
二连浩特	晴间多云
阿巴嘎	晴
苏左旗	晴间多云
苏右旗	中雪
朱日和	中雪
东乌旗	中雪
西乌旗	中雪
太仆寺	晴
正镶白旗	晴间多云
正蓝旗	晴间多云
多伦	大雪
博克图	中雪
乌拉盖	小雪
海拉尔	大雪
小二沟	中雪
阿荣旗	阴
莫力达瓦	多云
鄂伦春旗	小雪
鄂温克旗	大雪
陈旗	大雪
新左旗	晴间多云
新右旗	晴
满洲里	晴间多云
牙克石	小雪
扎兰屯	阴
额尔古纳	中雪
根河	中雪
图里河	中雪
乌兰浩特	阴
阿尔山	中雪
科右中旗	小雪
胡尔勒	阴
扎赉特	阴
索伦	多云
突泉	小雪
科右前旗	阴
阿左旗	晴
阿右旗	晴
额济纳	晴
拐子湖	晴
吉兰太	晴
锡林高勒	晴
头道湖	晴
中泉子	晴
巴彦诺日公	晴
雅布赖	晴
乌斯太	晴
孪井滩	晴
石家庄	晴
井陉	晴
正定	晴
栾城	晴
行唐	晴
灵寿	晴
高邑	晴
深泽	晴
赞皇	晴
无极	晴
平山	晴
元氏	晴
赵县	晴
辛集	晴
藁城	晴
晋州	晴
新乐	晴
鹿泉	晴
保定	晴
满城	晴
阜平	晴
徐水	晴
唐县	晴
高阳	晴
容城	晴
涞源	晴
望都	晴
安新	晴
易县	晴
曲阳	晴
蠡县	晴间多云
顺平	晴
雄县	晴
涿州	晴
定州	晴
安国	晴间多云
高碑店	晴
涞水	晴
定兴	晴
清苑	晴
博野	晴间多云
张家口	晴
宣化	晴
张北	晴
康保	小雪
沽源	晴
尚义	晴
蔚县	晴
阳原	晴
怀安	晴
万全	晴
怀来	晴
涿鹿	晴
赤城	晴
崇礼	晴
承德	晴
承德县	晴
兴隆	晴
平泉	阴
滦平	晴
隆化	晴
丰宁	晴
宽城	晴
围场	晴
唐山	晴
丰南	晴
丰润	晴
滦县	晴
滦南	阴
乐亭	阴
迁西	晴
玉田	晴
曹妃甸	阴
遵化	晴
迁安	晴
曹妃甸工业区	阴
廊坊	晴
固安	晴
永清	晴
香河	晴
大城	晴
文安	晴
大厂	晴
霸州	晴
三河	晴
沧州	晴
青县	晴
东光	晴
海兴	晴
盐山	晴
肃宁	晴间多云
南皮	晴
吴桥	晴
献县	晴
孟村	晴
泊头	晴
任丘	晴
黄骅	晴
河间	晴
沧县	晴
衡水	晴间多云
枣强	晴间多云
武邑	晴
武强	晴间多云
饶阳	晴间多云
安平	晴间多云
故城	晴
景县	晴
阜城	晴
冀州	晴
深州	晴
邢台	晴
临城	晴
内丘	晴
柏乡	晴
隆尧	晴
南和	晴
宁晋	晴
巨鹿	晴
新河	晴
广宗	晴
平乡	晴
威县	晴间多云
清河	晴
临西	晴间多云
南宫	晴
沙河	晴
任县	晴
邯郸	晴
峰峰	晴间多云
临漳	晴
成安	晴
大名	晴间多云
涉县	晴
磁县	晴
肥乡	晴
永年	晴
邱县	晴间多云
鸡泽	晴
广平	晴间多云
馆陶	晴间多云
魏县	晴
曲周	晴
武安	晴间多云
秦皇岛	晴间多云
青龙	晴间多云
昌黎	阴
抚宁	阴
卢龙	阴
北戴河	阴
郑州	毛毛雨/细雨
巩义	晴间多云
荥阳	毛毛雨/细雨
登封	毛毛雨/细雨
新密	毛毛雨/细雨
新郑	小雨
中牟	毛毛雨/细雨
上街	晴间多云
安阳	晴
汤阴	晴
滑县	晴
内黄	晴
林州	晴
新乡	晴间多云
获嘉	晴间多云
原阳	毛毛雨/细雨
辉县	晴间多云
卫辉	晴
延津	晴间多云
封丘	小雨
长垣	晴
许昌	小雨
鄢陵	小雨
襄城	小雨
长葛	小雨
禹州	小雨
平顶山	小雨
郏县	小雨
宝丰	小雨
汝州	小雨
叶县	中雨
舞钢	中雨
鲁山	小雨
石龙	小雨
信阳	中雨
息县	中雨
罗山	中雨
光山	中雨
新县	小雨
淮滨	中雨
潢川	中雨
固始	中雨
商城	中雨
南阳	小雨
南召	毛毛雨/细雨
方城	小雨
社旗	小雨
西峡	毛毛雨/细雨
内乡	毛毛雨/细雨
镇平	毛毛雨/细雨
淅川	毛毛雨/细雨
新野	小雨
唐河	小雨
邓州	毛毛雨/细雨
桐柏	小雨
开封	小雨
杞县	小雨
尉氏	小雨
通许	小雨
兰考	小雨
洛阳	晴间多云
新安	多云
孟津	晴间多云
宜阳	多云
洛宁	晴间多云
伊川	多云
嵩县	多云
偃师	晴间多云
栾川	多云
汝阳	多云
吉利	晴间多云
商丘	中雨
睢县	晴间多云
民权	小雨
虞城	中雨
柘城	小雨
宁陵	小雨
夏邑	中雨
永城	小雨
焦作	晴
修武	晴
武陟	晴
沁阳	晴间多云
博爱	晴
温县	毛毛雨/细雨
孟州	晴间多云
鹤壁	晴
浚县	晴
淇县	晴
濮阳	多云
台前	毛毛雨/细雨
南乐	阴
清丰	晴
范县	毛毛雨/细雨
周口	中雨
扶沟	小雨
太康	小雨
淮阳	中雨
西华	中雨
商水	中雨
项城	中雨
郸城	中雨
鹿邑	中雨
沈丘	中雨
漯河	中雨
临颍	小雨
舞阳	中雨
驻马店	中雨
西平	中雨
遂平	中雨
上蔡	中雨
汝南	中雨
泌阳	中雨
平舆	中雨
新蔡	中雨
确山	中雨
正阳	中雨
三门峡	晴间多云
灵宝	多云
渑池	晴间多云
卢氏	多云
义马	晴间多云
陕县	晴间多云
济源	晴间多云
太原	晴
清徐	晴
阳曲	晴
娄烦	晴
古交	晴
尖草坪区	晴
小店区	晴
大同	晴
阳高	晴
大同县	晴
天镇	晴
广灵	晴
灵丘	晴
浑源	晴
左云	晴
阳泉	晴
盂县	晴
平定	晴
晋中	晴
榆次	晴
榆社	晴
左权	晴
和顺	晴
昔阳	晴
寿阳	晴
太谷	晴
祁县	晴
平遥	晴
灵石	晴
介休	晴
长治	晴
黎城	晴
屯留	晴
潞城	晴
襄垣	晴
平顺	晴
武乡	晴
沁县	晴
长子	晴
沁源	晴
壶关	晴
晋城	晴
沁水	晴
阳城	晴
陵川	晴
高平	晴
泽州	晴
临汾	晴
曲沃	晴
永和	晴
隰县	晴
大宁	晴
吉县	晴
襄汾	晴
蒲县	晴
汾西	晴
洪洞	晴
霍州	晴
乡宁	晴
翼城	晴
侯马	晴
浮山	晴
安泽	晴
古县	晴
运城	晴
临猗	晴
稷山	晴
万荣	晴
河津	晴
新绛	晴
绛县	晴
闻喜	晴
垣曲	晴间多云
永济	晴间多云
芮城	晴
夏县	晴
平陆	晴间多云
朔州	晴
平鲁	晴间多云
山阴	晴
右玉	晴
应县	晴
怀仁	晴
忻州	晴
定襄	晴
五台县	晴
河曲	晴
偏关	晴
神池	晴
宁武	晴
代县	晴
繁峙	晴
五台山	晴
保德	晴
静乐	晴
岢岚	晴
五寨	晴
原平	晴
吕梁	晴
离石	晴
临县	晴
兴县	晴
岚县	晴
柳林	晴
石楼	晴
方山	晴
交口	晴
中阳	晴
孝义	晴
汾阳	晴
文水	晴
交城	晴
济南	小雨
长清	晴间多云
商河	晴间多云
章丘	毛毛雨/细雨
平阴	毛毛雨/细雨
济阳	毛毛雨/细雨
青岛	毛毛雨/细雨
崂山	毛毛雨/细雨
即墨	毛毛雨/细雨
胶州	小雨
黄岛	毛毛雨/细雨
莱西	小雨
平度	小雨
淄博	毛毛雨/细雨
淄川	小雨
博山	小雨
高青	小雨
周村	小雨
沂源	小雨
桓台	毛毛雨/细雨
临淄	小雨
德州	晴
武城	晴
临邑	晴
陵县	晴
齐河	晴间多云
乐陵	晴间多云
庆云	晴间多云
平原	晴
宁津	晴
夏津	晴
禹城	毛毛雨/细雨
烟台	小雨
莱州	小雨
长岛	小雨
蓬莱	小雨
龙口	小雨
招远	小雨
栖霞	小雨
福山	小雨
牟平	小雨
莱阳	小雨
海阳	毛毛雨/细雨
潍坊	小雨
青州	小雨
寿光	小雨
临朐	小雨
昌乐	小雨
昌邑	小雨
安丘	小雨
高密	小雨
诸城	小雨
济宁	小雨
嘉祥	小雨
微山	小雨
鱼台	小雨
兖州	小雨
金乡	中雨
汶上	小雨
泗水	中雨
梁山	小雨
曲阜	小雨
邹城	小雨
泰安	小雨
新泰	小雨
肥城	毛毛雨/细雨
东平	小雨
宁阳	小雨
临沂	小雨
莒南	小雨
沂南	小雨
兰陵	毛毛雨/细雨
临沭	小雨
郯城	毛毛雨/细雨
蒙阴	小雨
平邑	毛毛雨/细雨
费县	小雨
沂水	小雨
菏泽	小雨
鄄城	毛毛雨/细雨
郓城	小雨
东明	小雨
定陶	小雨
巨野	小雨
曹县	小雨
成武	中雨
单县	中雨
滨州	小雨
博兴	毛毛雨/细雨
无棣	小雨
阳信	晴间多云
惠民	晴间多云
沾化	小雨
邹平	毛毛雨/细雨
东营	阵雨
河口	阵雨
垦利	阵雨
利津	阵雨
广饶	小雨
威海	毛毛雨/细雨
文登	毛毛雨/细雨
荣成	毛毛雨/细雨
乳山	毛毛雨/细雨
成山头	毛毛雨/细雨
石岛	毛毛雨/细雨
枣庄	小雨
薛城	小雨
峄城	小雨
台儿庄	小雨
滕州	小雨
日照	毛毛雨/细雨
五莲	小雨
莒县	小雨
莱芜	小雨
聊城	晴间多云
冠县	晴间多云
阳谷	毛毛雨/细雨
高唐	晴
茌平	晴间多云
东阿	毛毛雨/细雨
临清	晴
莘县	阴
南京	小雨
溧水	小雨
高淳	小雨
江宁	小雨
六合	中雨
江浦	中雨
浦口	中雨
无锡	阵雨
江阴	阵雨
宜兴	阵雨
锡山	阵雨
镇江	阵雨
丹阳	阵雨
扬中	阵雨
句容	小雨
丹徒	阵雨
苏州	阵雨
常熟	阵雨
张家港	阵雨
昆山	阵雨
吴中	阵雨
吴江	阵雨
太仓	阵雨
南通	阵雨
海安	阵雨
如皋	阵雨
如东	小雨
启东	阵雨
海门	阵雨
通州	阵雨
扬州	阵雨
宝应	强阵雨
仪征	小雨
高邮	强阵雨
江都	阵雨
邗江	阵雨
盐城	阵雨
响水	毛毛雨/细雨
滨海	阵雨
阜宁	强阵雨
射阳	阵雨
建湖	阵雨
东台	阵雨
大丰	阵雨
盐都	晴
徐州	小雨
铜山	小雨
丰县	阵雨
沛县	中雨
邳州	小雨
睢宁	毛毛雨/细雨
新沂	毛毛雨/细雨
淮安	小雨
金湖	强阵雨
盱眙	中雨
洪泽	小雨
涟水	小雨
淮阴区	小雨
淮安区	小雨
连云港	毛毛雨/细雨
东海	毛毛雨/细雨
赣榆	毛毛雨/细雨
灌云	毛毛雨/细雨
灌南	毛毛雨/细雨
常州	阵雨
溧阳	小雨
金坛	小雨
武进	阵雨
泰州	阵雨
兴化	阵雨
泰兴	阵雨
姜堰	阵雨
靖江	阵雨
宿迁	毛毛雨/细雨
沭阳	毛毛雨/细雨
泗阳	小雨
泗洪	小雨
宿豫	小雨
杭州	毛毛雨/细雨
萧山	毛毛雨/细雨
桐庐	毛毛雨/细雨
淳安	毛毛雨/细雨
建德	毛毛雨/细雨
余杭	小雨
临安	中雨
富阳	毛毛雨/细雨
湖州	毛毛雨/细雨
长兴	毛毛雨/细雨
安吉	小雨
德清	毛毛雨/细雨
嘉兴	阵雨
嘉善	阵雨
海宁	小雨
桐乡	小雨
平湖	阵雨
海盐	小雨
宁波	阵雨
慈溪	阵雨
余姚	阵雨
奉化	阵雨
象山	小雨
宁海	阵雨
北仑	小雨
鄞州	阵雨
镇海	阵雨
越城	小雨
诸暨	小雨
上虞	小雨
新昌	小雨
嵊州	小雨
台州	晴间多云
玉环	小雨
三门	小雨
天台	多云
仙居	毛毛雨/细雨
温岭	小雨
洪家	小雨
临海	小雨
椒江	小雨
黄岩	阴
路桥	阴
温州	小雨
泰顺	多云
文成	晴间多云
平阳	晴间多云
瑞安	晴间多云
洞头	小雨
乐清	小雨
永嘉	小雨
苍南	晴间多云
丽水	小雨
遂昌	毛毛雨/细雨
龙泉	毛毛雨/细雨
缙云	毛毛雨/细雨
青田	小雨
云和	毛毛雨/细雨
庆元	阵雨
松阳	小雨
景宁	毛毛雨/细雨
金华	小雨
浦江	小雨
兰溪	小雨
义乌	小雨
东阳	小雨
武义	小雨
永康	毛毛雨/细雨
磐安	小雨
衢州	小雨
常山	小雨
开化	小雨
龙游	小雨
江山	小雨
衢江	小雨
舟山	小雨
嵊泗	晴间多云
岱山	小雨
普陀	小雨
定海	小雨
福州	阵雨
闽清	阵雨
闽侯	阵雨
罗源	阵雨
连江	阵雨
永泰	阵雨
平潭	晴间多云
长乐	阵雨
福清	小雨
钓鱼岛	阵雨
厦门	晴
同安	晴
宁德	阵雨
古田	阵雨
霞浦	晴间多云
寿宁	阵雨
周宁	阵雨
福安	阵雨
柘荣	多云
福鼎	多云
屏南	阵雨
莆田	小雨
仙游	晴间多云
秀屿港	晴间多云
涵江	小雨
秀屿	小雨
荔城	小雨
城厢	小雨
泉州	晴间多云
安溪	晴间多云
永春	小雨
德化	小雨
南安	晴
崇武	晴
惠安	晴间多云
晋江	晴间多云
石狮	晴间多云
漳州	晴
长泰	晴
南靖	小雨
平和	小雨
龙海	晴
漳浦	晴
诏安	晴间多云
东山	晴间多云
云霄	小雨
华安	晴
龙岩	晴
长汀	小雨
连城	晴
武平	晴
上杭	晴
永定	晴
漳平	晴
三明	小雨
宁化	小雨
清流	小雨
泰宁	阵雨
将乐	阵雨
建宁	阵雨
明溪	阵雨
沙县	小雨
尤溪	小雨
永安	小雨
大田	小雨
南平	多云
顺昌	多云
光泽	小雨
邵武	阵雨
武夷山	阵雨
浦城	阵雨
建阳	阵雨
松溪	阵雨
政和	阵雨
建瓯	阵雨
南昌	中雨
新建	中雨
南昌县	中雨
安义	中雨
进贤	小雨
九江	小雨
瑞昌	小雨
庐山	小雨
武宁	中雨
德安	小雨
永修	小雨
湖口	小雨
彭泽	小雨
星子	小雨
都昌	中雨
修水	小雨
上饶	小雨
鄱阳	中雨
婺源	小雨
余干	中雨
万年	中雨
德兴	小雨
上饶县	毛毛雨/细雨
弋阳	毛毛雨/细雨
横峰	小雨
铅山	中雨
玉山	小雨
广丰	小雨
抚州	阵雨
广昌	阵雨
乐安	阵雨
崇仁	毛毛雨/细雨
金溪	小雨
资溪	小雨
宜黄	小雨
南城	小雨
南丰	阵雨
黎川	小雨
东乡	毛毛雨/细雨
宜春	小雨
铜鼓	小雨
宜丰	中雨
万载	小雨
上高	中雨
靖安	中雨
奉新	中雨
高安	中雨
樟树	中雨
丰城	中雨
吉安	阴
吉安县	阴
吉水	阴
新干	阴
峡江	阴
永丰	阵雨
永新	阵雨
井冈山	阵雨
万安	阵雨
遂川	阵雨
泰和	阵雨
安福	阵雨
宁冈	阵雨
赣州	多云
崇义	多云
上犹	多云
南康	多云
大余	多云
信丰	小雨
宁都	阵雨
石城	小雨
瑞金	小雨
于都	阵雨
会昌	晴间多云
安远	晴间多云
全南	小雨
龙南	小雨
定南	小雨
寻乌	晴
兴国	阵雨
赣县	多云
景德镇	中雨
乐平	中雨
浮梁	中雨
萍乡	小雨
莲花	阵雨
上栗	小雨
安源	晴间多云
芦溪	小雨
湘东	小雨
新余	小雨
分宜	小雨
鹰潭	毛毛雨/细雨
余江	毛毛雨/细雨
贵溪	毛毛雨/细雨
合肥	小雨
长丰	小雨
肥东	小雨
肥西	小雨
蚌埠	小雨
怀远	小雨
固镇	小雨
五河	小雨
芜湖	小雨
繁昌	小雨
芜湖县	小雨
南陵	小雨
淮南	小雨
凤台	中雨
潘集	中雨
马鞍山	小雨
当涂	小雨
安庆	中雨
枞阳	中雨
太湖	小雨
潜山	中雨
怀宁	中雨
宿松	小雨
望江	小雨
岳西	小雨
桐城	中雨
宿州	小雨
砀山	中雨
灵璧	小雨
泗县	小雨
萧县	小雨
阜阳	中雨
阜南	中雨
颍上	中雨
临泉	中雨
界首	中雨
太和	中雨
亳州	中雨
涡阳	中雨
利辛	中雨
蒙城	中雨
黄山	中雨
黄山区	中雨
屯溪	小雨
祁门	小雨
黟县	小雨
歙县	小雨
休宁	小雨
黄山风景区(光明顶)	小雨
滁州	中雨
凤阳	小雨
明光	小雨
定远	小雨
全椒	中雨
来安	中雨
天长	小雨
淮北	小雨
濉溪	中雨
铜陵	小雨
宣城	小雨
泾县	小雨
旌德	中雨
宁国	小雨
绩溪	中雨
广德	小雨
郎溪	小雨
六安	中雨
霍邱	中雨
寿县	中雨
金寨	中雨
霍山	中雨
舒城	中雨
巢湖	小雨
庐江	中雨
无为	中雨
含山	小雨
和县	小雨
池州	小雨
东至	小雨
青阳	小雨
九华山	中雨
石台	中雨
武汉	小雨
蔡甸	中雨
黄陂	小雨
新洲	中雨
江夏	中雨
东西湖	小雨
襄阳	小雨
襄州	小雨
保康	毛毛雨/细雨
南漳	毛毛雨/细雨
宜城	毛毛雨/细雨
老河口	毛毛雨/细雨
谷城	毛毛雨/细雨
枣阳	小雨
鄂州	中雨
梁子湖	中雨
孝感	小雨
安陆	毛毛雨/细雨
云梦	小雨
大悟	小雪
应城	小雨
汉川	中雨
孝昌	毛毛雨/细雨
黄冈	中雨
红安	小雨
麻城	小雨
罗田	小雨
英山	中雨
浠水	中雨
蕲春	小雨
黄梅	小雨
武穴	小雨
团风	中雨
黄石	中雨
大冶	中雨
阳新	中雨
铁山	中雨
下陆	中雨
西塞山	中雨
咸宁	中雨
赤壁	中雨
嘉鱼	中雨
崇阳	中雨
通城	中雨
通山	小雨
荆州	小雨
江陵	小雨
公安	小雨
石首	中雨
监利	中雨
洪湖	中雨
松滋	小雨
宜昌	小雨
远安	小雨
秭归	毛毛雨/细雨
兴山	毛毛雨/细雨
五峰	小雨
当阳	毛毛雨/细雨
长阳	小雨
宜都	小雨
枝江	毛毛雨/细雨
三峡	小雨
夷陵	小雨
恩施	毛毛雨/细雨
利川	中雨
建始	中雨
咸丰	小雨
宣恩	毛毛雨/细雨
鹤峰	中雨
来凤	小雨
巴东	中雨
十堰	毛毛雨/细雨
竹溪	小雨
郧西	毛毛雨/细雨
郧阳	毛毛雨/细雨
竹山	小雨
房县	小雨
丹江口	毛毛雨/细雨
茅箭	毛毛雨/细雨
张湾	毛毛雨/细雨
神农架	小雨
随州	小雨
广水	小雨
荆门	毛毛雨/细雨
钟祥	毛毛雨/细雨
京山	毛毛雨/细雨
掇刀	毛毛雨/细雨
沙洋	毛毛雨/细雨
天门	小雨
仙桃	小雨
潜江	小雨
长沙	中雨
宁乡	中雨
浏阳	大雨
湘江新区	中雨
望城	中雨
湘潭	中雨
韶山	中雨
湘乡	小雨
株洲	中雨
攸县	阴
醴陵	中雨
茶陵	阴
炎陵	阴
衡阳	小雨
衡山	小雨
衡东	毛毛雨/细雨
祁东	阴
衡阳县	阴
常宁	小雨
衡南	小雨
耒阳	阴
南岳	毛毛雨/细雨
郴州	晴间多云
桂阳	阵雨
嘉禾	小雨
宜章	晴间多云
临武	晴间多云
资兴	多云
汝城	小雨
安仁	阴
永兴	多云
桂东	阵雨
苏仙	晴间多云
常德	中雨
安乡	中雨
桃源	中雨
汉寿	中雨
澧县	中雨
临澧	中雨
石门	中雨
津市	中雨
益阳	中雨
赫山区	中雨
南县	中雨
桃江	中雨
安化	大雨
沅江	中雨
娄底	小雨
双峰	小雨
冷水江	中雨
新化	小雨
涟源	中雨
邵阳	毛毛雨/细雨
隆回	小雨
洞口	毛毛雨/细雨
新邵	毛毛雨/细雨
邵东	毛毛雨/细雨
绥宁	阵雨
新宁	毛毛雨/细雨
武冈	毛毛雨/细雨
城步	多云
邵阳县	毛毛雨/细雨
岳阳	中雨
华容	中雨
湘阴	中雨
汨罗	中雨
平江	中雨
临湘	中雨
张家界	中雨
桑植	中雨
慈利	中雨
武陵源	中雨
怀化	中雨
沅陵	中雨
辰溪	大雨
靖州	阵雨
会同	毛毛雨/细雨
通道	阵雨
麻阳	中雨
新晃	小雨
芷江	毛毛雨/细雨
溆浦	小雨
中方	中雨
洪江	小雨
永州	阴
祁阳	阴
东安	多云
双牌	晴间多云
道县	晴间多云
宁远	小雨
江永	晴间多云
蓝山	阵雨
新田	小雨
江华	晴间多云
冷水滩	阴
吉首	中雨
保靖	中雨
永顺	中雨
古丈	中雨
凤凰	中雨
泸溪	大雨
龙山	小雨
花垣	中雨
广州	晴间多云
番禺	晴间多云
从化	晴间多云
增城	晴间多云
花都	晴间多云
韶关	晴
乳源	晴
始兴	晴
翁源	晴
乐昌	晴间多云
仁化	小雨
南雄	小雨
新丰	晴
曲江	晴
浈江	晴
武江	晴
惠州	晴间多云
博罗	晴间多云
惠阳	晴间多云
惠东	小雨
龙门	晴间多云
梅州	多云
兴宁	晴间多云
蕉岭	多云
大埔	晴
丰顺	小雨
平远	晴间多云
五华	小雨
梅县	多云
汕头	晴间多云
潮阳	小雨
澄海	晴间多云
南澳	晴间多云
深圳	小雨
珠海	晴间多云
斗门	阵雨
金湾	晴间多云
佛山	晴间多云
顺德	晴间多云
三水	晴
南海	晴间多云
高明	晴间多云
肇庆	晴
广宁	晴
四会	晴
德庆	晴间多云
怀集	晴
封开	晴间多云
高要	晴
湛江	晴间多云
吴川	晴间多云
雷州	晴间多云
徐闻	晴间多云
廉江	晴
赤坎	晴间多云
遂溪	晴
坡头	晴间多云
霞山	晴间多云
麻章	晴间多云
江门	晴间多云
开平	多云
新会	阴
恩平	晴
台山	阴
蓬江	晴间多云
鹤山	晴间多云
江海	晴间多云
河源	晴
紫金	小雨
连平	晴
和平	晴
龙川	晴间多云
东源	晴
清远	晴间多云
连南	晴间多云
连州	晴间多云
连山	晴
阳山	晴间多云
佛冈	晴间多云
英德	晴
清新	晴间多云
云浮	晴
罗定	晴间多云
新兴	晴
郁南	晴间多云
云安	晴
潮州	小雨
饶平	小雨
潮安	晴间多云
东莞	晴间多云
中山	晴间多云
阳江	晴
阳春	晴
阳东	晴
阳西	晴
揭阳	小雨
揭西	小雨
普宁	小雨
惠来	小雨
揭东	小雨
茂名	晴
高州	晴
化州	晴
电白	晴
信宜	晴间多云
茂港	晴
汕尾	晴间多云
海丰	阵雨
陆丰	晴间多云
陆河	阵雨
南宁	小雨
邕宁	小雨
横县	小雨
隆安	毛毛雨/细雨
